"","X","Zip","Distributor"
"1",2,15001,"DuquesneLight"
"2",3,15003,"DuquesneLight"
"3",4,15004,NA
"4",5,15005,"DuquesneLight"
"5",6,15005,"PennPower"
"6",7,15006,"DuquesneLight"
"7",8,15007,"DuquesneLight"
"8",9,15009,"DuquesneLight"
"9",10,15009,"PennPower"
"10",11,15010,"DuquesneLight"
"11",12,15010,"PennPower"
"12",13,15012,"WestPennPower"
"13",14,15012,"DuquesneLight"
"14",15,15014,"WestPennPower"
"15",16,15015,"PennPower"
"16",17,15017,"WestPennPower"
"17",18,15017,"DuquesneLight"
"18",19,15018,"WestPennPower"
"19",20,15019,"WestPennPower"
"20",21,15020,"WestPennPower"
"21",22,15021,"WestPennPower"
"22",23,15021,"DuquesneLight"
"23",24,15022,"WestPennPower"
"24",25,15024,"WestPennPower"
"25",26,15024,"DuquesneLight"
"26",27,15025,"WestPennPower"
"27",28,15025,"DuquesneLight"
"28",29,15026,"WestPennPower"
"29",30,15026,"DuquesneLight"
"30",31,15027,"DuquesneLight"
"31",32,15028,"WestPennPower"
"32",33,15030,"WestPennPower"
"33",34,15031,"WestPennPower"
"34",35,15032,"WestPennPower"
"35",36,15032,"DuquesneLight"
"36",37,15033,"WestPennPower"
"37",38,15034,"DuquesneLight"
"38",39,15035,"DuquesneLight"
"39",40,15036,"WestPennPower"
"40",41,15037,"WestPennPower"
"41",42,15037,"DuquesneLight"
"42",43,15038,"WestPennPower"
"43",44,15042,"DuquesneLight"
"44",45,15043,"DuquesneLight"
"45",46,15044,"WestPennPower"
"46",47,15044,"DuquesneLight"
"47",48,15044,"PennPower"
"48",49,15045,"DuquesneLight"
"49",50,15046,"DuquesneLight"
"50",51,15047,"WestPennPower"
"51",52,15049,"WestPennPower"
"52",53,15049,"DuquesneLight"
"53",54,15050,"DuquesneLight"
"54",55,15051,"WestPennPower"
"55",56,15051,"DuquesneLight"
"56",57,15052,"DuquesneLight"
"57",58,15052,"PennPower"
"58",59,15053,"WestPennPower"
"59",60,15054,"WestPennPower"
"60",61,15055,"WestPennPower"
"61",62,15056,"DuquesneLight"
"62",63,15057,"WestPennPower"
"63",64,15059,"DuquesneLight"
"64",65,15060,"WestPennPower"
"65",66,15061,"DuquesneLight"
"66",67,15062,"WestPennPower"
"67",68,15063,"WestPennPower"
"68",69,15064,"WestPennPower"
"69",70,15064,"DuquesneLight"
"70",71,15065,"WestPennPower"
"71",72,15066,"DuquesneLight"
"72",73,15066,"PennPower"
"73",74,15067,"WestPennPower"
"74",75,15068,"WestPennPower"
"75",76,15068,"DuquesneLight"
"76",77,15069,"WestPennPower"
"77",78,15071,"WestPennPower"
"78",79,15071,"DuquesneLight"
"79",80,15072,"WestPennPower"
"80",81,15074,"DuquesneLight"
"81",82,15074,"PennPower"
"82",83,15075,"WestPennPower"
"83",84,15075,"DuquesneLight"
"84",85,15076,"WestPennPower"
"85",86,15076,"DuquesneLight"
"86",87,15077,"DuquesneLight"
"87",88,15078,"WestPennPower"
"88",89,15081,"DuquesneLight"
"89",90,15082,"WestPennPower"
"90",91,15083,"WestPennPower"
"91",92,15084,"WestPennPower"
"92",93,15084,"DuquesneLight"
"93",94,15085,"WestPennPower"
"94",95,15085,"DuquesneLight"
"95",96,15086,"PennPower"
"96",97,15087,"WestPennPower"
"97",98,15088,"WestPennPower"
"98",99,15089,"WestPennPower"
"99",100,15090,"DuquesneLight"
"100",101,15090,"PennPower"
"101",102,15091,"DuquesneLight"
"102",103,15095,NA
"103",104,15096,NA
"104",105,15101,"DuquesneLight"
"105",106,15101,"PennPower"
"106",107,15102,"WestPennPower"
"107",108,15102,"DuquesneLight"
"108",109,15104,"DuquesneLight"
"109",110,15106,"DuquesneLight"
"110",111,15108,"WestPennPower"
"111",112,15108,"DuquesneLight"
"112",113,15110,"DuquesneLight"
"113",114,15112,"DuquesneLight"
"114",115,15116,"DuquesneLight"
"115",116,15120,"DuquesneLight"
"116",117,15122,"DuquesneLight"
"117",118,15123,"DuquesneLight"
"118",119,15126,"WestPennPower"
"119",120,15126,"DuquesneLight"
"120",121,15127,"PennPower"
"121",122,15129,"WestPennPower"
"122",123,15130,"WestPennPower"
"123",124,15131,"WestPennPower"
"124",125,15131,"DuquesneLight"
"125",126,15132,"DuquesneLight"
"126",127,15133,"DuquesneLight"
"127",128,15134,"DuquesneLight"
"128",129,15135,"WestPennPower"
"129",130,15135,"DuquesneLight"
"130",131,15136,"DuquesneLight"
"131",132,15137,"WestPennPower"
"132",133,15137,"DuquesneLight"
"133",134,15139,"DuquesneLight"
"134",135,15140,"DuquesneLight"
"135",136,15142,"WestPennPower"
"136",137,15142,"DuquesneLight"
"137",138,15143,"DuquesneLight"
"138",139,15143,"PennPower"
"139",140,15144,"WestPennPower"
"140",141,15144,"DuquesneLight"
"141",142,15145,"DuquesneLight"
"142",143,15146,"WestPennPower"
"143",144,15146,"DuquesneLight"
"144",145,15147,"DuquesneLight"
"145",146,15148,"DuquesneLight"
"146",147,15189,NA
